ID	UTMx	UTMy
	507191,364	4673090,272
	507191,364	4673090,272
	506942,437	4671806,469
	506942,437	4671806,469
	506942,437	4671806,469
	507639,938	4673117,087
	507639,938	4673117,087
	507639,938	4673117,087
	507561,524	4673191,116
	507561,524	4673191,116
	507561,524	4673191,116
	506829,473	4671877,532
	506829,473	4671877,532
	506829,473	4671877,532
	506979,685	4671987,586
	506979,685	4671987,586
	506979,685	4671987,586
	507809,016	4674918,985
	507809,016	4674918,985
	507809,016	4674918,985
	510423,296	4678135,624
	510423,296	4678135,624
	510423,296	4678135,624
	510065,989	4678336,767
	510065,989	4678336,767
	510065,989	4678336,767
	510310,378	4678204,743
	510310,378	4678204,743
	510310,378	4678204,743
	510325,725	4678234,138
	510325,725	4678234,138
	510325,725	4678234,138
	510332,511	4678259,957
	510332,511	4678259,957
	510332,511	4678259,957
	510330,82	4678282,438
	510330,82	4678282,438
	510330,82	4678282,438
	510324,22	4678303,603
	510324,22	4678303,603
	510324,22	4678303,603
	510222,009	4678253,398
	510222,009	4678253,398
	510222,009	4678253,398
	510546,996	4678079,384
	510546,996	4678079,384
	510546,996	4678079,384
	510848,609	4678291,831
	510848,609	4678291,831
	510848,609	4678291,831
	510832,699	4678310,579
	510832,699	4678310,579
	510832,699	4678310,579
	511115,301	4678321,107
	511115,301	4678321,107
	511115,301	4678321,107
	511210,467	4678228,445
	511210,467	4678228,445
	511210,467	4678228,445
	511142,441	4678162,247
	511142,441	4678162,247
	511142,441	4678162,247
	509303,868	4678486,919
	509303,868	4678486,919
	509303,868	4678486,919
	507255,025	4678790,542
	507255,025	4678790,542
	507255,025	4678790,542
	510282,439	4678203,807
	510282,439	4678203,807
	510282,439	4678203,807
	508334,369	4676774,081
	508334,369	4676774,081
	508334,369	4676774,081
	508375,663	4676822,615
	508375,663	4676822,615
	508375,663	4676822,615
	508426,534	4676853,344
	508426,534	4676853,344
	508426,534	4676853,344
	508518,047	4676663,705
	508518,047	4676663,705
	508518,047	4676663,705
	509216,312	4676433,939
	509216,312	4676433,939
	509216,312	4676433,939
	509807,461	4675747,573
	509807,461	4675747,573
	509807,461	4675747,573
	509907,978	4675677,762
	509907,978	4675677,762
	509907,978	4675677,762
	509909,05	4675586,699
	509909,05	4675586,699
	509909,05	4675586,699
	509959,069	4675578,229
	509959,069	4675578,229
	509959,069	4675578,229
	509696,307	4675713,202
	509696,307	4675713,202
	509696,307	4675713,202
	509745,506	4675731,631
	509745,506	4675731,631
	509745,506	4675731,631
	509899,858	4675649,781
	509899,858	4675649,781
	509899,858	4675649,781
	509796,015	4675477,002
	509796,015	4675477,002
	509796,015	4675477,002
	509287,151	4675266,62
	509287,151	4675266,62
	509287,151	4675266,62
	509235,08	4675394,413
	509235,08	4675394,413
	509235,08	4675394,413
	511244,951	4678261,13
	511244,951	4678261,13
	511244,951	4678261,13
	511339,516	4678345,254
	511339,516	4678345,254
	511339,516	4678345,254
	511345,132	4678323,76
	511345,132	4678323,76
	511345,132	4678323,76
	511359,865	4678302,466
	511359,865	4678302,466
	511359,865	4678302,466
	511371,059	4678283,206
	511371,059	4678283,206
	511371,059	4678283,206
	511330,554	4678364,701
	511330,554	4678364,701
	511330,554	4678364,701
	511388,985	4678242,824
	511388,985	4678242,824
